nohup: ignoring input
             Fingerprints used:
             Type:  BP
             C :  60 G1s  48 G2s
             H :  60 G1s  48 G2s
    0.07s: Processing training data
             Number of training images: 570
    0.74s: Trying to load training fingerprints
             Fingerprints were not found
    0.74s: Calculating training fingerprints
    0.74s: Training
       Epoch      CumLoss     EnergyRMSE   ForceRMSE
         169     0.047177     0.036776     0.208949
         170     0.047089     0.036672     0.208867
         171     0.047071     0.036602     0.209284
         172     0.046992     0.036516     0.209145
         173     0.046870     0.036393     0.208851
         174     0.046802     0.036337     0.208573
         175     0.046763     0.036240     0.208983
         176     0.046683     0.036115     0.209172
         177     0.046579     0.036079     0.208309
         178     0.046503     0.035950     0.208576
         179     0.046453     0.035853     0.208854
         180     0.046386     0.035819     0.208411
         181     0.046293     0.035661     0.208722
         182     0.046204     0.035613     0.208145
         183     0.046139     0.035531     0.208126
         184     0.046081     0.035392     0.208664
         185     0.046008     0.035371     0.208048
         186     0.045921     0.035226     0.208310
         187     0.045835     0.035158     0.207942
         188     0.045761     0.035082     0.207767
         189     0.045695     0.034954     0.208118
         190     0.045628     0.034912     0.207743
         191     0.045556     0.034776     0.208087
         192     0.045477     0.034723     0.207666
         193     0.045395     0.034602     0.207772
         194     0.045313     0.034537     0.207416
         195     0.045233     0.034425     0.207478
         196     0.045155     0.034353     0.207228
         197     0.045079     0.034253     0.207231
         198     0.045004     0.034161     0.207167
         199     0.044930     0.034090     0.206951
         200     0.044859     0.033960     0.207250
         201     0.044796     0.033938     0.206743
         202     0.044748     0.033748     0.207781
         203     0.044739     0.033810     0.207184
         204     0.044814     0.033514     0.210363
         205     0.045053     0.033737     0.211143
         206     0.045432     0.033306     0.218495
         207     0.045723     0.033578     0.219441
         208     0.045453     0.033289     0.218845
         209     0.044744     0.033099     0.212901
         210     0.044237     0.033277     0.206106
         211     0.044335     0.032919     0.209991
         212     0.044678     0.032891     0.213814
         213     0.044511     0.032938     0.211698
         214     0.043902     0.032634     0.207652
         215     0.043821     0.032634     0.206798
         216     0.044158     0.032639     0.210314
         217     0.043989     0.032428     0.210168
         218     0.043537     0.032364     0.205924
         219     0.043536     0.032401     0.205622
         220     0.043666     0.032155     0.208899
         221     0.043479     0.032124     0.207175
         222     0.043286     0.032182     0.204694
         223     0.043259     0.031838     0.207083
         224     0.043163     0.031957     0.205156
         225     0.043046     0.031875     0.204564
         226     0.043037     0.031568     0.206843
         227     0.042948     0.031803     0.204094
         228     0.042738     0.031480     0.204391
         229     0.042671     0.031370     0.204533
         230     0.042705     0.031531     0.203649
         231     0.042599     0.031139     0.205554
         232     0.042424     0.031242     0.202938
         233     0.042343     0.031148     0.202819
         234     0.042300     0.030915     0.204147
         235     0.042203     0.031029     0.202272
         236     0.042107     0.030792     0.203076
         237     0.042054     0.030736     0.202962
         238     0.041974     0.030689     0.202479
         239     0.041840     0.030541     0.202217
         240     0.041725     0.030456     0.201664
         241     0.041661     0.030423     0.201259
         242     0.041598     0.030250     0.201905
         243     0.041503     0.030216     0.201183
         244     0.041409     0.030144     0.200751
         245     0.041346     0.029941     0.201618
         246     0.041305     0.030054     0.200357
         247     0.041259     0.029712     0.202418
         248     0.041229     0.029897     0.200749
         249     0.041243     0.029535     0.203552
         250     0.041344     0.029723     0.203213
         251     0.041495     0.029356     0.207368
         252     0.041628     0.029588     0.207053
         253     0.041534     0.029170     0.209070
         254     0.041157     0.029359     0.203958
         255     0.040641     0.029052     0.200955
         256     0.040344     0.028995     0.198357
         257     0.040379     0.028993     0.198727
         258     0.040560     0.028726     0.202472
         259     0.040640     0.028848     0.202411
         260     0.040468     0.028574     0.202631
         261     0.040135     0.028585     0.199217
         262     0.039856     0.028475     0.197190
         263     0.039772     0.028334     0.197353
         264     0.039836     0.028343     0.197932
         265     0.039896     0.028144     0.199953
         266     0.039836     0.028163     0.199213
         267     0.039641     0.027969     0.198638
         268     0.039405     0.027963     0.196317
         269     0.039233     0.027803     0.195736
         270     0.039161     0.027751     0.195383
         271     0.039151     0.027665     0.195891
         272     0.039147     0.027517     0.196882
         273     0.039116     0.027545     0.196391
         274     0.039049     0.027279     0.197568
         275     0.038953     0.027414     0.195678
         276     0.038822     0.027081     0.196686
         277     0.038674     0.027218     0.194271
         278     0.038519     0.026930     0.194740
         279     0.038383     0.026954     0.193231
         280     0.038276     0.026804     0.193208
         281     0.038195     0.026686     0.193218
         282     0.038131     0.026677     0.192659
         283     0.038083     0.026452     0.193723
         284     0.038057     0.026551     0.192791
         285     0.038065     0.026241     0.194979
         286     0.038146     0.026445     0.194393
         287     0.038318     0.026030     0.198832
         288     0.038623     0.026371     0.199542
         289     0.038901     0.025860     0.205495
         290     0.039000     0.026176     0.204421
         291     0.038660     0.025807     0.203544
         292     0.038091     0.025718     0.198682
         293     0.037639     0.025860     0.193390
         294     0.037436     0.025405     0.194428
         295     0.037468     0.025682     0.192910
         296     0.037540     0.025340     0.195842
         297     0.037511     0.025286     0.195923
         298     0.037295     0.025389     0.193170
         299     0.036944     0.025031     0.192131
         300     0.036752     0.025210     0.189101
         301     0.036825     0.024973     0.191370
         302     0.036931     0.024901     0.192854
         303     0.036794     0.024925     0.191382
         304     0.036444     0.024688     0.189561
         305     0.036218     0.024703     0.187287
         306     0.036264     0.024593     0.188445
         307     0.036369     0.024483     0.190171
         308     0.036292     0.024453     0.189626
         309     0.036043     0.024353     0.187883
         310     0.035843     0.024207     0.186914
         311     0.035796     0.024268     0.186066
         312     0.035796     0.023998     0.187808
         313     0.035714     0.024090     0.186431
         314     0.035546     0.023884     0.186162
         315     0.035406     0.023808     0.185308
         316     0.035359     0.023830     0.184715
         317     0.035368     0.023545     0.186616
         318     0.035368     0.023757     0.185264
         319     0.035329     0.023347     0.187488
         320     0.035324     0.023633     0.185647
         321     0.035417     0.023181     0.189341
         322     0.035696     0.023539     0.189755
         323     0.036055     0.023031     0.196155
         324     0.036369     0.023492     0.196321
         325     0.036136     0.022896     0.197685
         326     0.035408     0.023172     0.189312
         327     0.034613     0.022850     0.183844
         328     0.034410     0.022720     0.182743
         329     0.034745     0.022915     0.184674
         330     0.035043     0.022497     0.189986
         331     0.034940     0.022750     0.187517
         332     0.034476     0.022448     0.185022
         333     0.034119     0.022362     0.182215
         334     0.034090     0.022520     0.180965
         335     0.034193     0.022131     0.184303
         336     0.034183     0.022374     0.182742
         337     0.033985     0.022037     0.182943
         338     0.033788     0.021990     0.181388
         339     0.033713     0.022052     0.180319
         340     0.033708     0.021718     0.182282
         341     0.033663     0.021989     0.180238
         342     0.033508     0.021578     0.181270
         343     0.033327     0.021701     0.178848
         344     0.033202     0.021534     0.178703
         345     0.033171     0.021384     0.179307
         346     0.033187     0.021516     0.178673
         347     0.033175     0.021163     0.180657
         348     0.033105     0.021408     0.178556
         349     0.032963     0.021014     0.179577
         350     0.032800     0.021185     0.177062
         351     0.032649     0.020909     0.177308
         352     0.032541     0.020917     0.176262
         353     0.032476     0.020826     0.176199
         354     0.032441     0.020681     0.176741
         355     0.032425     0.020746     0.176212
         356     0.032415     0.020490     0.177603
         357     0.032412     0.020669     0.176542
         358     0.032404     0.020320     0.178485
