             Fingerprints used:
             Type:  BP
             Pt:  20 G1s   6 G2s
    0.08s: Processing training data
             Number of training images: 500
    0.84s: Trying to load training fingerprints
             Fingerprints were not found
    0.84s: Calculating training fingerprints
    0.84s: Training
       Epoch      CumLoss     EnergyRMSE   ForceRMSE
           1     0.049937     0.004069     0.351931
           2     0.050223     0.006803     0.351854
           3     0.049920     0.004106     0.351791
           4     0.049904     0.004032     0.351720
           5     0.050009     0.005290     0.351634
           6     0.049946     0.004790     0.351543
           7     0.049839     0.003682     0.351452
           8     0.049820     0.003605     0.351360
           9     0.049863     0.004317     0.351261
          10     0.049865     0.004515     0.351152
          11     0.049808     0.004049     0.351031
          12     0.049748     0.003510     0.350897
          13     0.049729     0.003539     0.350744
          14     0.049734     0.003935     0.350571
          15     0.049720     0.004088     0.350380
          16     0.049671     0.003842     0.350172
          17     0.049613     0.003493     0.349946
          18     0.049573     0.003434     0.349696
          19     0.049547     0.003636     0.349409
          20     0.049508     0.003744     0.349075
          21     0.049444     0.003606     0.348690
          22     0.049368     0.003401     0.348253
          23     0.049299     0.003403     0.347763
          24     0.049235     0.003588     0.347220
          25     0.049157     0.003666     0.346625
          26     0.049054     0.003512     0.345971
          27     0.048939     0.003320     0.345252
          28     0.048825     0.003318     0.344449
          29     0.048703     0.003392     0.343543
          30     0.048555     0.003329     0.342525
          31     0.048388     0.003215     0.341400
          32     0.048219     0.003263     0.340179
          33     0.048037     0.003323     0.338860
          34     0.047828     0.003182     0.337447
          35     0.047613     0.003094     0.335966
          36     0.047398     0.003132     0.334422
          37     0.047163     0.003028     0.332802
          38     0.046931     0.003049     0.331147
          39     0.046712     0.003176     0.329543
          40     0.046493     0.002965     0.328089
          41     0.046307     0.002899     0.326798
          42     0.046132     0.002875     0.325565
          43     0.045983     0.003111     0.324402
          44     0.045851     0.003124     0.323462
          45     0.045732     0.002878     0.322731
          46     0.045621     0.002890     0.321941
          47     0.045520     0.003112     0.321122
          48     0.045423     0.002984     0.320492
          49     0.045343     0.002962     0.319936
          50     0.045264     0.002966     0.319374
          51     0.045198     0.003011     0.318889
          52     0.045134     0.003054     0.318412
          53     0.045067     0.003011     0.317962
          54     0.045009     0.003056     0.317529
          55     0.044950     0.003069     0.317106
          56     0.044895     0.003048     0.316722
          57     0.044849     0.003119     0.316359
          58     0.044802     0.003085     0.316048
          59     0.044753     0.003098     0.315694
          60     0.044706     0.003102     0.315357
          61     0.044660     0.003106     0.315029
          62     0.044612     0.003104     0.314691
          63     0.044564     0.003082     0.314364
          64     0.044519     0.003103     0.314034
          65     0.044473     0.003080     0.313719
          66     0.044424     0.003075     0.313372
          67     0.044375     0.003065     0.313029
          68     0.044327     0.003054     0.312692
          69     0.044278     0.003043     0.312351
          70     0.044231     0.003020     0.312028
          71     0.044188     0.003023     0.311722
          72     0.044147     0.003003     0.311446
          73     0.044109     0.003009     0.311169
          74     0.044071     0.002983     0.310917
          75     0.044034     0.002971     0.310659
          76     0.043995     0.003000     0.310366
          77     0.043952     0.002956     0.310082
          78     0.043905     0.002977     0.309739
          79     0.043855     0.002945     0.309401
          80     0.043803     0.002942     0.309037
          81     0.043751     0.002943     0.308667
          82     0.043699     0.002934     0.308300
          83     0.043646     0.002945     0.307919
          84     0.043592     0.002944     0.307539
          85     0.043538     0.002972     0.307139
          86     0.043483     0.003007     0.306738
          87     0.043433     0.003152     0.306307
          88     0.043386     0.003260     0.305918
          89     0.043335     0.003443     0.305456
          90     0.043257     0.003098     0.305085
          91     0.043179     0.002898     0.304635
          92     0.043127     0.003050     0.304190
          93     0.043080     0.003164     0.303797
          94     0.043012     0.003204     0.303295
          95     0.042928     0.002880     0.302865
          96     0.042862     0.002881     0.302397
          97     0.042809     0.003112     0.301905
          98     0.042741     0.003074     0.301441
          99     0.042658     0.002909     0.300937
         100     0.042581     0.002803     0.300437
         101     0.042515     0.002912     0.299923
         102     0.042450     0.003047     0.299396
         103     0.042372     0.003014     0.298857
         104     0.042284     0.002885     0.298299
         105     0.042196     0.002754     0.297732
         106     0.042112     0.002737     0.297145
