nohup: ignoring input
             Fingerprints used:
             Type:  BP
             C :  60 G1s  48 G2s
             H :  60 G1s  48 G2s
    0.08s: Processing training data
             Number of training images: 570
    0.74s: Trying to load training fingerprints
             Fingerprints were not found
    0.74s: Calculating training fingerprints
    0.74s: Training
       Epoch      CumLoss     EnergyRMSE   ForceRMSE
           1     0.186236     0.053763     1.260822
           2     0.185364     0.053945     1.253986
           3     0.184329     0.053657     1.246961
           4     0.183038     0.053528     1.237694
           5     0.181306     0.053426     1.225099
           6     0.179010     0.053288     1.208406
           7     0.176051     0.053101     1.186895
           8     0.172358     0.052868     1.160003
           9     0.167906     0.052601     1.127512
          10     0.162708     0.052319     1.089415
          11     0.156721     0.052040     1.045304
          12     0.149813     0.051774     0.994063
          13     0.141714     0.051511     0.933526
          14     0.132222     0.051260     0.861830
          15     0.121433     0.051059     0.779066
          16     0.109778     0.050903     0.687754
          17     0.097916     0.050685     0.592391
          18     0.086601     0.050280     0.498579
          19     0.077059     0.049678     0.416543
          20     0.071523     0.049008     0.368361
          21     0.071714     0.048396     0.374212
          22     0.075516     0.047829     0.413227
          23     0.078846     0.047290     0.446115
          24     0.079109     0.046869     0.450647
          25     0.075689     0.046613     0.421666
          26     0.070128     0.046462     0.371433
          27     0.065449     0.046337     0.326835
          28     0.063953     0.046244     0.312370
          29     0.065247     0.046266     0.325314
          30     0.066835     0.046365     0.340386
          31     0.066852     0.046392     0.340363
          32     0.065248     0.046296     0.325112
          33     0.062929     0.046117     0.302765
          34     0.060968     0.045925     0.283541
          35     0.060024     0.045766     0.274624
          36     0.060013     0.045632     0.275607
          37     0.060278     0.045500     0.279572
          38     0.060195     0.045384     0.279620
          39     0.059587     0.045338     0.273407
          40     0.058686     0.045366     0.263243
          41     0.057861     0.045395     0.253690
          42     0.057327     0.045369     0.247791
          43     0.057031     0.045318     0.244831
          44     0.056800     0.045312     0.242188
          45     0.056508     0.045374     0.238159
          46     0.056118     0.045448     0.232777
          47     0.055692     0.045461     0.227471
          48     0.055371     0.045393     0.224213
          49     0.055251     0.045283     0.223843
          50     0.055252     0.045180     0.224895
          51     0.055196     0.045096     0.225050
          52     0.054995     0.045015     0.223395
          53     0.054684     0.044922     0.220491
          54     0.054341     0.044815     0.217321
          55     0.054047     0.044695     0.214874
          56     0.053846     0.044564     0.213714
          57     0.053704     0.044424     0.213381
          58     0.053540     0.044284     0.212768
          59     0.053308     0.044157     0.211168
          60     0.053037     0.044047     0.208901
          61     0.052807     0.043947     0.207034
          62     0.052661     0.043846     0.206238
          63     0.052556     0.043741     0.206014
          64     0.052424     0.043635     0.205456
          65     0.052240     0.043520     0.204330
          66     0.052024     0.043378     0.203077
          67     0.051821     0.043213     0.202240
          68     0.051669     0.043055     0.201977
          69     0.051554     0.042923     0.201919
          70     0.051430     0.042806     0.201578
          71     0.051272     0.042692     0.200782
          72     0.051098     0.042586     0.199679
          73     0.050941     0.042504     0.198545
          74     0.050814     0.042449     0.197506
          75     0.050698     0.042408     0.196456
          76     0.050574     0.042362     0.195337
          77     0.050436     0.042298     0.194246
          78     0.050292     0.042210     0.193346
          79     0.050156     0.042097     0.192807
          80     0.050032     0.041963     0.192652
          81     0.049911     0.041815     0.192697
          82     0.049788     0.041663     0.192744
          83     0.049662     0.041517     0.192698
          84     0.049539     0.041383     0.192553
          85     0.049419     0.041261     0.192329
          86     0.049301     0.041147     0.192029
          87     0.049182     0.041037     0.191689
          88     0.049062     0.040924     0.191357
          89     0.048941     0.040809     0.191037
          90     0.048820     0.040691     0.190738
          91     0.048699     0.040568     0.190510
          92     0.048581     0.040437     0.190388
          93     0.048465     0.040303     0.190335
          94     0.048352     0.040174     0.190257
          95     0.048240     0.040055     0.190093
          96     0.048126     0.039940     0.189849
          97     0.048009     0.039825     0.189583
          98     0.047894     0.039708     0.189356
